DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2001,1919,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2002,2048,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2003,2153,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2004,2375,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2005,2681,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2006,2797,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2007,3247,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2008,3678,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2009,4067,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2010,4567,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2011,4866,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2012,5266,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2013,5704,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2014,6025,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2015,6374,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2016,6767,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2017,7418,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2018,8127,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2019,8677,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2020,9322,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2021,10345,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,BG,2022,11850,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,1999,14014,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2000,15132,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2001,15798,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2002,16496,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2003,17481,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2004,17851,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2005,19086,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2006,19899,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2007,20012,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2008,20665,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2009,21687,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2010,22222,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2011,22645,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2012,22976,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2013,21594,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2014,20947,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2015,20699,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2016,20759,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2017,21124,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2018,21395,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2019,22066,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2020,21769,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2021,22899,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CY,2022,23129,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,1997,3954,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,1998,4256,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,1999,4403,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2000,4902,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2001,5566,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2002,6613,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2003,6898,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2004,7442,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2005,8310,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2006,9216,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2007,9986,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2008,11716,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2009,11118,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2010,12040,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2011,12690,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2012,12711,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2013,12312,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2014,11965,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2015,12435,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2016,13062,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2017,14427,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2018,15987,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2019,17130,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2020,16826,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2021,18193,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,CZ,2022,20434,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,1995,27227,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,1996,27225,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,1997,26617,
ESTAT:NAMA_10_FTE(1.0),28/11/23 23:00:00,A,EUR,DE,1998,26936,
