id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
7860,Rasheed Abdul Wallace,"
(Sheed, Roscoe, Dirty 30)
",1109,14.4,6.7,1.8,46.7,33.6,17.0,105.1
7861,Michael John Wallace,,61,9.1,-,1.0,27.8,54.1,-,1.9
7862,Tyrone Tyrin Wallace,,112,5.1,2.1,1.1,42.2,20.7,8.1,0.1
7863,Dwight Waller,,20,2.0,2.7,0.3,37.8,0.0,7.1,0.1
7864,Jamie Antonio Waller,,9,4.7,1.4,0.3,40.0,0.0,7.1,-0.2
7865,James Patrick Walsh,,10,2.0,1.5,0.8,18.5,58.8,5.0,-0.2
7866,Matthew Vincent Walsh,,2,1.0,0.0,0.0,100.0,-,-2.4,0.0
7867,Rex Andrew Walters,,335,4.6,1.2,1.7,44.1,36.1,11.2,6.3
7868,Paul G. Walther,,370,7.7,3.7,2.6,36.2,70.8,13.0,20.3
7869,Isaac Walthour,,4,0.5,0.3,0.5,16.7,-,-5.4,-0.1
7870,William Theodore Walton III,"
(Big Red, Grateful Red, Red Baron, Redwood, Chief)
",468,13.3,10.5,3.4,52.1,0.0,20.0,39.3
7871,Derrick Walton Jr.,,45,2.2,0.9,1.4,35.6,37.0,8.9,0.8
7872,Lloyd Walton,,341,4.2,1.1,3.6,45.4,25.0,11.4,5.2
7873,Luke Theodore Walton,"
(Little Wheats)
",564,4.7,2.8,2.3,42.9,32.6,11.7,13.5
7874,Bradley Daniel Wanamaker,,191,5.5,1.7,2.4,42.1,30.0,11.3,5.4
7875,Robert Francis Wanzer,"
(Hooks)
",568,12.2,4.5,3.2,39.3,80.2,17.3,63.9
7876,Perry L. Warbington,,5,2.0,1.6,3.2,19.0,100.0,3.1,-0.3
7877,Charlie Ward Jr.,,630,6.3,2.6,4.0,40.8,36.4,13.8,33.0
7878,Gerald W. Ward,,169,3.2,1.7,1.4,35.6,63.9,6.6,1.0
7879,Henry Lorette Ward,,88,4.7,2.0,0.5,44.4,26.1,11.3,0.6
7880,Casper Ware,,9,5.3,1.0,1.1,42.9,33.3,13.0,0.2
7881,James Edward Ware,,64,2.3,2.4,0.2,29.3,-,6.8,-1.0
7882,Benjamin Vallentina Warley,,436,8.5,5.6,0.8,41.8,28.4,14.0,16.4
7883,Robert Lee Warlick,,186,7.9,3.0,2.1,40.1,0.0,11.9,0.8
7884,Cornell Warner,,445,6.4,7.5,1.1,45.2,67.2,11.3,15.8
7885,Jameel Marcus Warney,,3,5.7,3.0,0.0,58.3,-,22.5,0.1
7886,Robert G. Warren,,486,8.9,3.2,1.8,44.0,26.2,13.1,20.7
7887,John Warren II,,303,6.0,2.3,1.9,43.0,82.7,11.1,4.3
7888,Anthony Warren Jr.,,374,14.6,4.0,1.2,50.6,35.4,16.4,20.8
7889,Willie D. Warren,,19,1.9,0.6,1.4,37.1,33.3,10.8,0.2
7890,Bryan Anthony Warrick,,169,4.0,1.3,2.6,44.3,20.8,9.0,1.6
7971,John Francis Wetzel,,357,3.4,1.9,1.4,42.9,81.0,9.5,6.6
7891,Hakim Hanif Warrick,"
(Helicopter, Skinny)
",526,9.4,4.0,0.8,49.0,19.1,15.5,20.4
7892,Christopher Scott Washburn,,72,3.1,2.4,0.3,41.2,0.0,7.6,-0.6
7893,Julian S. Williams Washburn,,18,2.2,2.3,0.8,33.3,20.8,6.5,0.1
7894,Robert Washington,,118,5.9,2.0,3.5,39.7,-,14.4,2.1
7895,Darius Myron Washington Jr.,,18,2.9,1.1,0.8,43.8,33.3,9.0,0.0
7896,Donald Maurice Washington Jr.,,56,3.9,1.8,0.6,45.3,0.0,9.5,0.4
7897,Duane Eddy Washington,,19,2.8,1.3,2.1,38.3,50.0,13.4,0.4
7898,Duane Eddy Washington Jr.,,79,9.1,1.5,1.9,39.1,37.1,10.0,-0.6
7899,Eric Maurice Washington,,104,6.9,2.1,1.0,40.2,34.6,9.5,0.1
7900,James H. Washington,,774,10.6,8.6,1.4,44.9,70.5,12.6,39.3
7901,Kermit Alan Washington,,507,9.2,8.3,1.4,52.6,0.0,16.0,36.0
7902,Paul Jamaine Washington Jr.,"
(Pistol, 3J)
",260,12.9,5.5,2.3,45.0,36.6,13.1,10.6
7903,Dwayne Alonzo Washington,,194,8.6,1.9,3.8,45.2,18.4,12.4,1.9
7904,Richard Lee Washington,,351,9.8,6.3,1.2,45.3,25.0,13.3,10.8
7905,Stanley Washington,,1,0.0,0.0,0.0,0.0,-,-10.3,0.0
7906,Thomas Washington,,426,10.6,10.0,2.4,53.2,33.3,14.8,33.1
7907,Tyrone Lewis Washington Jr.,,31,4.7,1.5,1.5,36.3,23.8,7.5,-0.1
7908,Wilson Washington Jr.,,100,7.3,4.5,0.6,49.7,60.5,12.4,2.1
7909,Watanabe Yūta Watanabe,,179,4.3,2.5,0.7,43.9,39.0,11.3,4.3
7910,Lindy Waters III,,66,6.3,2.2,0.8,39.9,36.0,12.4,1.9
7911,Tremont Waters,,40,3.7,0.9,2.1,35.4,29.6,10.5,0.1
7912,Trendon Nelson Watford,,110,7.5,4.0,1.9,54.7,33.3,14.5,4.0
7913,Darryl Finesse Watkins,,14,2.5,2.8,0.2,41.4,-,6.5,-0.1
