id,name,nicknames,games,points_avg,total_rebounds,assists,fg_percent,field_goals,per,win_shares
3140,Alaa Abdelnaby,,256,5.7,3.3,0.3,50.2,0.0,13.0,4.8
3141,Zaid Abdul-Aziz,,505,9.0,8.0,1.2,42.8,72.8,15.1,17.5
3142,Kareem Abdul-Jabbar,,1560,24.6,11.2,3.6,55.9,5.6,24.6,273.4
3143,Mahmoud Abdul-Rauf,,586,14.6,1.9,3.5,44.2,35.4,15.4,25.2
3144,Tariq Abdul-Wahad,,236,7.8,3.3,1.1,41.7,23.7,11.4,3.5
3145,Julius Shareef Abdur-Rahim,,830,18.1,7.5,2.5,47.2,29.7,19.0,71.2
3146,Thomas Craig Abernethy,,319,5.6,3.2,1.2,49.2,0.0,12.9,13.4
3147,Forest Edward Able,,1,0.0,1.0,1.0,0.0,-,-41.5,0.0
3148,John Abramovic Jr.,,56,9.5,-,0.7,23.7,68.6,-,-1.9
3149,Alejandro Abrines,,174,5.3,1.4,0.5,38.7,36.8,8.8,5.0
3150,Precious Ezinna Achiuwa,,189,7.8,5.3,0.9,47.4,32.1,13.8,6.0
3151,Alex Acker,,30,2.7,1.0,0.5,37.0,32.0,8.5,-0.2
3152,Donald D. Ackerman,,28,1.5,0.5,0.8,22.2,53.6,1.0,-0.6
3153,Mark Richard Acres,,375,3.6,4.1,0.5,50.6,53.8,9.0,9.3
3154,Charles R. Acton,,23,3.3,2.0,0.5,39.2,65.5,9.5,0.1
3155,Quincy Jyrome Acy,,337,4.9,3.5,0.6,44.4,35.0,11.2,8.7
3156,Alvan Leigh Adams,"
(Double A, The Oklahoma Kid)
",988,14.1,7.0,4.1,49.8,13.3,18.3,73.5
3157,Donald L. Adams,,523,8.8,5.6,1.9,40.2,0.0,10.7,11.7
3158,George Adams,,215,7.7,4.1,1.5,49.7,23.5,14.0,6.6
3159,Hassan Olawale Adams,,73,2.5,1.2,0.2,53.4,0.0,11.8,0.8
3160,Jaylen Tairique Adams,,41,2.7,1.5,1.6,33.1,32.9,7.0,0.0
3161,Jordan LaVell Adams,"
(Money, Spider Man)
",32,3.2,0.9,0.6,40.2,38.5,13.1,0.4
3162,Michael Adams,,653,14.7,2.9,6.4,41.5,33.2,16.6,46.9
3163,Steven Funaki Adams,"
(Big Kiwi, Kiwi Phenom, Aquaman)
",706,9.2,8.2,1.5,58.7,6.7,17.1,59.3
3164,Rafael Addison,,379,5.8,2.1,0.9,44.9,28.2,10.5,4.9
3165,Edrice Femi Adebayo,,418,14.7,8.5,3.4,55.4,12.9,20.0,42.8
3166,Deng Adel,,19,1.7,1.0,0.3,30.6,26.1,2.7,-0.2
3167,Richard Leonard Adelman,,462,7.7,2.4,3.5,41.5,71.3,11.3,10.0
3168,Jeff Adrien,,153,4.6,4.3,0.7,47.4,0.0,15.0,4.4
3169,Arron Agustin Afflalo,,762,10.8,2.9,1.8,45.0,38.6,11.9,33.5
3170,Ochai Young Agbaji,,59,7.9,2.1,1.1,42.7,35.5,9.5,1.3
3171,Maurice Darnell Ager,,82,2.1,0.6,0.2,33.9,25.0,2.8,-0.9
3172,Mark Anthony Aguirre,,923,20.0,5.0,3.1,48.4,31.2,19.0,67.8
3173,Daniel Blake Ahearn,,19,4.6,1.2,1.2,27.3,29.8,7.2,-0.2
3174,Daniel Ray Ainge,,1042,11.5,2.7,4.0,46.9,37.8,14.7,71.5
3175,Matthew Alexander Aitch Jr.,,45,5.6,3.6,0.4,40.5,0.0,11.9,0.5
3176,Alexis Ajinça,,293,5.3,3.9,0.5,50.3,28.6,14.9,7.5
3177,Henry T. Akin,,88,3.5,2.1,0.5,35.0,0.0,7.4,-1.2
3178,Joshua Emmanuel Akognon,,3,1.7,0.3,0.3,50.0,50.0,15.3,0.0
3179,DeVaughn Akoon-Purcell,,7,1.0,0.6,0.9,30.0,0.0,8.2,0.0
3180,Makafan Solomon Alabi,,26,1.5,2.3,0.2,31.4,-,10.3,0.0
3181,Mark Steven Alarie,,325,7.5,3.4,1.1,47.5,25.2,13.0,8.4
3182,Gary R. Alcorn,,78,3.3,4.2,0.3,29.3,59.8,6.5,-1.3
3183,Santiago Aldama,,109,7.6,4.2,1.1,45.7,31.8,13.3,4.9
3184,Furkan Aldemir,,41,2.3,4.3,0.7,51.3,0.0,12.0,1.4
3185,Cole David Aldrich,"
(Cole Sore)
",339,3.1,3.3,0.5,52.7,-,16.6,9.6
3186,LaMarcus Nurae Aldridge,"
(LMA)
",1076,19.1,8.1,1.9,49.3,32.0,20.7,115.7
3187,Charles John Aleksinas,,74,5.1,3.6,0.5,47.8,0.0,9.1,0.4
3188,Cliff Alexander,"
(Thunder)
",8,1.3,0.8,0.0,50.0,-,11.6,0.0
3189,Cory Lynn Alexander,,307,5.5,1.6,2.7,38.9,35.4,12.4,3.0
3190,Courtney Jason Alexander,,187,9.0,2.2,1.2,42.2,33.9,11.5,4.1
3191,Gary R. Alexander,,11,1.7,1.4,0.2,57.1,-,8.6,0.0
3192,Joe Anthony Alexander,,67,4.2,1.8,0.7,41.0,34.0,9.9,0.5
3193,Kyle John Solomon Alexander,,2,1.0,1.5,0.0,50.0,-,4.7,0.0
3194,Ty-Shon Leron Alexander,,15,0.6,0.7,0.4,25.0,22.2,4.2,0.0
3195,Victor Joe Alexander,,286,8.9,4.8,0.9,51.8,28.6,13.7,8.8
3196,Nickeil Alexander-Walker,,217,8.4,2.4,2.1,39.7,33.9,11.0,1.7
3197,Stephen Todd Alford,,169,4.4,0.9,1.0,45.9,32.4,14.4,3.2
3198,Rawle Prince Alkins,,10,3.7,2.6,1.3,33.3,25.0,8.1,-0.1
3199,Bill Allen,,38,7.9,7.1,0.6,42.9,100.0,11.9,0.6
3200,Robert J. Allen,,27,1.8,2.1,0.4,32.6,55.6,6.8,0.1
3201,Grayson James Allen,"
(G-money, Deebo)
",264,9.7,2.8,1.7,43.5,39.5,12.2,13.1
3202,Jarrett Allen,"
(Fro)
",409,12.0,8.9,1.4,63.0,18.1,20.0,44.4
3203,Jerome Byron Allen,,117,2.9,1.1,1.7,35.0,31.7,8.5,0.2
3204,Kadeem Frank Allen,"
(Big Bruiser, B.B.)
",47,5.5,1.5,2.3,43.5,34.9,13.5,1.0
3205,Lavoy Allen,,388,4.8,4.8,1.0,47.1,13.3,12.5,13.8
3206,Lucius Oliver Allen Jr.,,702,13.4,3.1,4.5,46.3,76.0,15.5,42.0
3207,Malik Allen,,478,4.9,2.8,0.5,43.9,18.8,9.9,6.6
3208,James Randall Allen,,70,3.6,2.1,0.3,44.2,0.0,8.3,0.2
3209,Walter Ray Allen,"
(Ray-Ray, Sugar Ray, Jesus Shuttlesworth, Skinny Walt, Gentleman)
",1300,18.9,4.1,3.4,45.2,40.0,18.6,145.1
3210,Anthony Allen,"
(The Grindfather, Trick or Treat Tony, Gucci)
",820,8.1,3.5,1.3,47.5,28.2,14.2,38.7
3211,Willie Allen,,7,1.9,2.0,0.6,30.8,-,5.7,0.0
3212,Odis Allison Jr.,,36,1.9,1.3,0.3,21.8,54.1,4.7,-0.6
3213,Lance Collin Allred,,3,1.0,0.3,0.0,25.0,-,-1.0,0.0
3214,Darrell Wilbert Allums Jr.,,22,2.7,3.0,1.1,34.3,0.0,5.3,-0.3
3215,Morris Almond,,38,3.1,1.2,0.3,38.1,29.2,7.0,0.0
3216,Derrick Samuel Alston,,139,5.4,3.8,0.7,48.9,14.3,11.7,2.6
3217,Rafer Jamel Alston,"
(Skip 2 My Lou)
",671,10.1,2.8,4.8,38.3,35.4,13.2,32.9
3218,Peter Aluma,,2,1.0,1.0,0.0,50.0,-,3.1,0.0
3219,Jose Alvarado,,115,7.7,2.1,2.9,42.4,32.2,13.6,3.9
3220,John Amaechi,,294,6.2,2.6,0.8,40.3,7.7,8.9,0.5
3221,Ashraf Omar Amaya,,85,4.5,4.2,0.4,45.5,50.0,11.5,1.9
3222,Al-Farouq Aminu,,711,7.5,6.0,1.2,42.0,33.2,12.2,27.6
3223,Louis Gabriel Amundson,,428,3.7,3.6,0.4,47.4,0.0,12.0,6.9
3224,Robert H. Anderegg,,33,4.0,2.1,0.9,38.5,54.8,9.3,0.0
3225,Christopher Claus Andersen,"
(Birdman)
",695,5.4,5.0,0.5,53.2,22.1,16.7,39.7
3226,David Emil Andersen,,103,4.9,2.8,0.6,44.0,34.7,11.7,1.5
3227,Alan Jeffery Anderson,"
(Double)
",330,7.3,2.2,1.1,40.5,34.4,10.3,7.4
3228,Andrew Emil Anderson,,194,10.7,2.7,1.7,41.0,15.9,10.9,3.5
3229,Antonio Andrew Anderson,,1,2.0,1.0,0.0,33.3,-,-1.7,0.0
3230,Clifford V. Anderson,,84,3.0,1.3,0.9,35.4,-,10.6,0.3
3231,Daniel W. Anderson,,140,12.2,9.4,1.1,48.1,-,17.5,10.9
3232,Daniel Edward Anderson,,95,3.7,1.0,1.7,47.2,84.6,12.3,1.6
3233,Derek Lamont Anderson,"
(Smooth)
",615,12.0,3.2,3.4,40.8,34.1,15.3,43.9
3234,Dwight Anthony Anderson,,5,4.2,0.4,0.6,50.0,-,10.6,0.0
3235,Eric Walfred Anderson III,,27,1.6,1.1,0.2,34.3,100.0,13.1,0.2
3236,Gregory Wayne Anderson,,680,7.3,6.2,0.6,49.2,8.7,13.0,18.7
3237,Mitchell Keith Anderson,,157,4.8,2.8,0.7,46.5,0.0,12.1,2.7
3238,James Lee Anderson,,247,5.8,2.3,1.2,41.1,32.1,9.9,3.3
3239,Jerome Anderson,,49,2.6,0.5,0.3,49.0,69.4,11.4,0.4
3240,Justin Lamar Anderson,"
(Simba)
",242,5.3,2.6,0.8,41.0,29.2,12.4,4.9
3241,Kenneth Anderson,"
(Mr. Chibbs)
",858,12.6,3.1,6.1,42.1,34.6,16.4,62.5
3242,Keith Kim Anderson,,21,3.0,2.1,0.7,31.2,53.6,3.0,-0.4
3243,Kyle F. Anderson,"
(Slo Mo)
",574,7.0,4.5,2.6,48.1,34.5,14.3,32.1
3244,Michael Levin Anderson,,36,5.7,2.5,4.3,41.7,14.3,10.5,0.2
3245,Nelison Anderson,,800,14.4,5.1,2.6,44.6,35.6,15.8,55.3
3246,Richard Andrew Anderson,,407,5.6,3.5,1.5,41.2,33.3,12.3,7.6
3247,Ronald Gene Anderson,,664,10.6,3.5,1.4,47.1,28.7,14.3,24.2
3248,Ryan James Anderson,,649,12.3,5.3,0.9,42.2,38.0,16.5,46.7
3249,Shandon Rodriguez Anderson,,719,7.4,3.1,1.4,45.7,31.6,11.7,23.6
3250,Willie Lloyd Anderson Jr.,"
(Chill)
",555,12.2,3.8,3.8,47.1,26.6,13.8,27.9
3251,Walter Charles Anderzunas,,44,3.6,1.9,0.2,39.2,63.0,8.8,-0.2
3252,Martynas Andriuškevičius,,6,0.0,0.7,0.0,0.0,-,15.5,0.0
3253,Donald Robert Anielak,,1,3.0,2.0,0.0,0.0,75.0,1.8,-0.1
3254,Christopher Ike Anigbogu,,14,0.9,0.9,0.1,33.3,-,17.0,0.0
3255,Michael Antonio Ansley,,149,6.9,4.2,0.4,51.3,-,17.0,6.4
3256,Christopher John Anstey,,155,5.2,3.4,0.8,41.3,13.8,13.2,2.8
3257,Giannis Antetokounmpo,,719,22.6,9.6,4.7,53.7,28.7,24.9,96.1
3258,Kostas Ndubuisi Antetokounmpo,,22,1.0,1.0,0.1,37.5,-,3.6,-0.2
3259,Athanasios Antetokounmpo,,164,2.7,1.8,0.6,50.7,14.5,10.8,1.9
3260,Carmelo Kyam Anthony,"
(Melo, Hoodie Melo, Sweet Melon, Mel)
",1260,22.5,6.2,2.7,44.7,35.5,19.5,108.5
3261,Cole Hinton Anthony,,172,14.2,5.0,4.6,41.1,34.5,13.9,5.3
3262,Gregory Carleton Anthony,"
(G-Money)
",757,7.3,1.9,4.0,40.3,34.9,14.5,35.9
3263,Joel Vincent Anthony,,490,2.2,2.8,0.2,51.3,-,9.7,15.3
3264,Pero Antić,,113,6.3,3.5,0.9,39.2,31.4,10.6,3.0
3265,Ogugua Anunoby,,368,11.6,4.3,1.5,47.1,37.5,13.2,22.2
3266,Keith Damon Appling,,5,1.2,0.2,0.2,25.0,0.0,-4.8,-0.1
3267,Rafael Araújo,,139,2.8,2.8,0.3,40.5,25.0,6.3,-0.4
3268,Stacey Arceneaux,,7,7.1,4.6,0.6,39.3,46.2,10.5,-0.1
3269,Robert Michael Archibald,,44,1.2,1.6,0.4,28.3,-,4.9,0.0
3270,Nathaniel Archibald,"
(Nate, The Skate)
",876,18.8,2.3,7.4,46.7,22.4,18.0,83.4
3271,Ryan Arcidiacono,,237,4.4,1.9,2.0,42.4,37.3,9.9,6.1
3272,Jimmie Lee Ard,,431,4.4,4.3,0.6,40.2,23.5,10.6,4.0
3273,Gilbert Jay Arenas Jr.,"
(Agent Zero, The Hibachi, Gil, Nacho, Black President, General)
",552,20.7,3.9,5.3,42.1,35.1,19.6,51.3
3274,Trevor Anthony Ariza,,1118,10.4,4.8,2.1,42.2,35.1,13.1,64.3
3275,Paul Joseph Arizin,,713,22.8,8.6,2.3,42.1,81.0,19.8,108.8
3276,Joseph Arlauckas,,9,3.8,1.4,0.9,32.6,-,7.9,-0.1
3277,Benjamin Roy Armstrong Jr.,"
(The Kid)
",747,9.8,1.8,3.3,47.7,42.5,14.5,45.0
3278,Theodore Robert Armstrong,,19,1.5,2.1,0.2,29.7,50.0,7.8,-0.1
3279,Brandon Simone Armstrong,,108,2.2,0.6,0.2,35.2,33.3,4.9,-0.6
3280,Paul Carlyle Armstrong,,153,6.8,2.3,2.3,29.5,69.2,-,7.1
3281,Darrell Eugene Armstrong,"
(Black College)
",840,9.2,2.7,4.0,40.9,33.4,16.3,49.8
3282,Hilton Julius Armstrong Jr.,,292,3.0,2.6,0.3,50.1,28.6,9.9,3.9
3283,Michel Taylor Armstrong,,92,3.8,1.0,1.1,45.4,80.0,9.9,0.3
3284,Hugh Jesse Arnelle,,31,4.7,5.5,0.6,31.7,62.3,12.6,0.0
3285,Jay Hoyland Arnette,,114,3.7,1.0,1.2,36.5,76.0,7.7,0.1
3286,Robert Louis Arnzen,,111,4.0,2.0,0.3,46.5,20.0,13.6,1.4
3287,Carlos Alberto Arroyo,,569,6.6,1.7,3.1,43.8,33.8,13.4,20.1
3288,Darrell Antwonne Arthur,,503,6.5,3.5,0.8,44.4,35.2,12.2,12.3
3289,John Charles Arthurs,,11,3.2,1.3,1.5,34.3,73.3,11.3,0.0
3290,Jamel Artis,"
(Mel)
",15,5.1,2.5,1.2,39.2,27.6,6.9,0.0
3291,Ömer Faruk Aşık,,471,5.3,7.1,0.6,52.8,0.0,13.4,20.9
3292,Vincent Jerome Askew,,467,7.1,2.5,2.2,47.9,30.0,12.6,22.1
3293,Keith Bernard Askins,"
(Skeeter)
",486,3.8,2.9,0.8,40.1,35.5,9.2,14.5
3294,Donald A. Asmonga,,7,0.7,0.1,0.7,13.3,100.0,-7.6,-0.3
3295,Richard E. Atha,,43,3.2,1.5,1.2,39.3,79.5,10.5,0.6
3296,Kenneth Lavon Atkins,,696,9.9,1.7,3.4,41.2,36.4,13.1,27.9
3297,Alvin Austin Attles Jr.,"
(Destroyer. The Jersey Jet)
",711,8.9,3.5,3.5,45.1,63.2,11.3,36.5
3298,Chester J. Aubuchon Jr.,,30,2.2,-,0.7,25.3,54.3,-,1.2
3299,Stacey Orlando Augmon,,1001,8.0,3.2,1.6,46.9,15.2,13.7,43.8
3300,Darryl Gerard Augustin Jr.,,976,9.5,1.8,3.9,41.2,38.1,14.0,47.7
3301,James Dale Augustine,,27,1.6,1.2,0.1,51.4,-,11.1,0.3
3302,Isaac Edward Austin,,432,7.6,4.7,1.2,44.6,17.6,13.0,9.2
3303,John W. Austin,,45,7.6,1.6,1.4,37.5,0.0,9.3,0.9
3304,Ken Austin,,7,1.7,0.4,0.1,46.2,-,5.6,0.0
3305,Deni Avdija,,212,8.1,5.5,2.1,43.1,31.0,10.5,5.9
3306,Anthony Avent,,352,5.6,4.5,0.8,40.3,0.0,8.8,0.3
3307,William Rodney Averitt,,366,12.1,1.9,2.9,40.5,24.9,12.5,3.9
3308,William Avery,,142,2.7,0.7,1.4,33.0,25.5,7.3,-0.9
3309,Dennis Wade Awtrey,,733,4.8,4.6,2.0,45.9,-,10.5,22.4
3310,Joel Ayayi,,7,0.3,0.4,0.6,16.7,0.0,3.4,0.0
3311,Gustavo Alfonso Ayón,,135,4.7,4.4,1.3,53.6,0.0,14.7,5.1
3312,Deandre Edoneille Ayton,,303,16.7,10.4,1.6,59.7,26.3,20.5,30.9
3313,Kelenna David Azubuike,,208,10.5,4.0,1.1,45.9,40.9,14.3,9.3
3314,Udoka Timothy Azubuike,,68,3.3,3.0,0.2,76.9,-,16.0,1.8
3316,Chris Babb,,14,1.6,1.2,0.2,26.7,22.2,3.7,0.0
3317,Luke Robert Babbitt,,381,4.8,2.2,0.6,40.8,40.2,10.1,7.2
3318,Miloš Babić,,21,1.8,1.0,0.5,37.5,-,10.9,-0.1
3319,John William Bach,,34,3.5,-,0.7,28.6,68.0,-,0.8
3320,Dwayne Lee Bacon Jr.,"
(Pancetta Shredda, Baconator)
",207,7.3,2.6,1.1,40.2,31.4,8.9,0.8
3321,William Henry Bacon,,47,3.5,1.7,0.8,36.6,20.0,4.3,-0.1
3322,James Edward Baechtold,,321,9.7,3.1,2.1,38.8,78.3,13.2,14.8
3323,Dalibor Bagarić,,95,2.6,2.5,0.4,36.1,0.0,7.0,-0.9
3324,John Edward Bagley,,665,8.7,2.6,6.0,43.7,24.1,13.0,16.6
3325,Marvin Bagley III,,208,13.3,7.2,0.9,50.6,29.0,17.1,9.3
3326,Carl Bailey,,1,2.0,0.0,0.0,100.0,-,-6.8,0.0
3327,Augustus Bailey,,147,2.6,1.7,1.1,40.6,100.0,11.3,0.8
3328,James L. Bailey,,595,8.8,5.0,0.8,48.4,7.7,13.0,16.3
3329,Thurl Lee Bailey,"
(Big T)
",928,12.8,5.1,1.4,47.3,11.4,14.3,45.0
3330,John Garfield Bailey Jr.,,73,3.3,1.7,0.6,40.7,20.0,11.0,1.0
3331,Cameron David Bairstow,,36,1.2,1.0,0.2,29.6,20.0,5.0,-0.1
3332,Jimmie Baker Jr.,,5,1.2,2.8,0.8,20.0,-,-3.2,-0.2
3333,LaMark Anthony Baker,,1,0.0,0.0,0.0,0.0,-,-46.6,-0.1
3334,Maurice Baker,,5,0.0,0.4,0.2,0.0,-,-0.2,0.0
3335,Norman Henry Baker,,4,0.0,-,0.0,0.0,-,-,0.0
3336,Ronald Delaine Baker,"
(Ron Burgundy)
",96,3.1,1.4,1.8,35.8,26.5,7.4,0.2
3337,Vincent Lamont Baker,"
(Vinnie, Shake and Bake)
",791,15.0,7.4,1.9,48.5,21.5,16.3,47.0
3338,Patrick O’Neal Baldwin Jr.,"
(PBJ)
",31,3.9,1.3,0.4,39.4,38.1,11.3,0.1
3339,Wade Manson Baldwin IV,,56,3.1,1.2,1.4,35.5,25.0,7.1,-0.3
3340,Renaldo Balkman,,221,4.0,3.5,0.6,51.0,17.2,14.3,7.2
3341,Cedric Glenn Ball,,7,1.1,1.6,0.0,37.5,-,10.8,0.0
3342,LaMelo LaFrance Ball,,162,19.4,6.4,7.3,42.6,37.7,18.6,10.5
3343,Lonzo Anderson Ball,,252,11.9,5.7,6.2,40.0,36.4,13.4,11.4
3344,Gregory Ballard,"
(Billards)
",802,12.4,6.1,2.2,47.2,33.8,15.7,54.0
3345,Herschel David Baltimore,,58,2.4,-,0.3,20.2,46.4,-,0.3
3346,Mohamed Fakaba Bamba,,275,7.5,5.8,0.9,47.6,35.9,16.7,12.6
3347,Paolo Napoleon James Banchero,,72,20.0,6.9,3.7,42.7,29.8,14.9,2.4
3348,Desmond Michael Bane,,202,16.1,4.1,2.9,46.9,42.5,16.6,16.0
3349,Eugene Lavon Banks,,468,11.3,5.8,2.9,53.9,4.3,15.1,31.2
3350,Arthur LeMarcus Banks III,,348,5.9,1.5,2.1,43.2,32.7,12.2,6.6
3351,Walker Burrell Banks Jr.,,16,2.6,3.1,0.5,50.0,-,6.4,0.2
3352,Kenneth Darnell Bannister,,253,5.9,3.5,0.4,48.8,0.0,8.9,0.6
3353,Michael Allen Bantom,,706,12.1,6.4,2.3,46.8,20.0,14.3,34.8
3354,Dalano Banton,,95,3.7,1.8,1.4,41.6,27.5,11.4,0.8
3355,Anthony Barber,"
(Cat)
",3,0.0,1.0,1.0,0.0,-,-11.2,-0.1
3356,John Barber,,5,1.4,1.2,0.0,25.0,50.0,4.2,0.0
3357,Leandro Mateus Barbosa,,850,10.6,2.0,2.1,45.9,38.7,15.1,37.4
3358,Stephen Dean Bardo,,33,2.2,1.8,1.3,32.9,10.0,8.1,-0.1
3359,Jose Juan Barea,,831,8.9,2.1,3.9,42.4,35.2,14.5,23.8
3360,Andrea Bargnani,,550,14.3,4.6,1.2,43.9,35.4,14.4,18.9
3361,Clifford Eugene Barker,,149,3.7,1.8,2.0,31.6,66.2,10.8,2.0
3362,Thomas Kevin Barker,,98,6.5,5.3,0.8,42.2,69.2,10.9,1.3
3363,Charles Wade Barkley,"
(Sir Charles, The Round Mound of Rebound, The Chuckster, The Chuck Wagon, The Prince of Pizza, The Incredible Bulk, The Leaning Tower of Pizza, Bread Truck, Boy Gorge, Love Boat, Food World, The Crisco Kid, Wide Load from Leeds, Ton of Fun, Goodtime Blimp)
",1073,22.1,11.7,3.9,54.1,26.6,24.6,177.2
3364,Erick Barkley,,27,2.9,0.8,1.5,35.6,26.7,9.9,0.2
3365,Donald Argee Barksdale,,262,11.0,8.0,2.1,37.0,66.0,15.6,9.1
3366,Dominick Barlow,,28,3.9,3.6,0.9,53.5,0.0,12.4,0.7
3367,Harrison Bryce Jordan Barnes,"
(Black Falcon)
",829,14.2,5.0,1.8,45.5,37.8,13.8,51.4
3368,Harry J. Barnes,,22,2.0,1.2,0.2,28.1,53.8,2.4,-0.4
3369,Velvet James Barnes,,454,8.8,6.5,0.8,42.9,68.4,12.5,14.2
3370,Marvin Jerome Barnes,"
(Bad News, The Magnificent, Movin' Marvin)
",315,16.0,9.1,2.1,48.1,21.4,18.1,20.6
3371,Matt Kelly Barnes,,929,8.2,4.6,1.8,43.6,33.5,12.7,42.8
3372,Scott Wayne Barnes Jr.,,151,15.3,7.1,4.2,47.3,29.0,15.9,11.6
3373,Richard Barnett,"
(Skull, Fall Back Baby)
",971,15.8,2.9,2.8,45.6,76.1,14.7,68.7
3374,James Franklin Barnett,,732,11.7,3.1,3.0,43.5,79.7,14.6,33.2
3375,Nathaniel Barnett Jr.,,12,2.3,0.7,0.7,46.2,0.0,4.9,0.0
3376,John Anthony Barnhill,,589,8.6,2.5,2.9,40.6,23.6,10.7,12.7
3377,Norton Barnhill,,4,1.0,0.8,0.3,33.3,-,4.7,0.0
3378,Leo Alphonse Barnhorst,,344,9.4,5.4,3.2,36.8,66.5,14.2,13.3
3379,John Evans Barr,,58,5.1,-,0.9,28.3,59.5,-,5.0
3380,Michael J. Barr,,307,5.9,2.1,2.8,47.9,33.3,9.6,6.9
3381,Thomas L. Barr,,31,2.0,0.6,0.9,40.3,84.6,11.9,0.1
3382,Andre Rashawd Barrett,,67,3.3,1.1,2.0,36.9,24.6,9.6,0.4
3383,Ernie Drew Barrett,,131,4.9,2.6,1.7,36.9,74.8,9.3,0.8
3384,Michael Thomas Barrett,,187,13.4,3.2,3.9,44.0,31.0,12.4,7.4
3385,Rowan Alexander Barrett Jr.,,271,18.1,5.4,2.8,42.2,34.3,12.8,8.1
3386,Earl Daniel Barron Jr.,,140,4.6,3.5,0.5,37.1,16.7,8.6,-0.6
3387,Dana Bruce Barros,,850,10.5,1.9,3.3,46.0,41.1,16.4,49.6
3388,Brent Robert Barry,"
(Bones)
",912,9.3,3.0,3.2,46.0,40.5,15.7,70.5
3389,Drew William Barry,,60,2.2,1.1,1.9,41.7,38.1,9.8,0.6
3390,Jon Alan Barry,"
(J.B.)
",821,5.7,1.8,2.2,43.4,39.2,14.7,37.2
3391,Richard Francis Dennis Barry III,"
(The Miami Greyhound)
",1020,24.8,6.7,4.9,45.6,29.7,21.0,128.9
3392,Edward John Bartels,,32,4.2,4.9,1.0,25.1,53.8,-,-1.1
3393,Victor Bartolome,,38,0.9,1.6,0.1,25.4,80.0,4.4,-0.4
3394,William Denard Barton,"
(The People's Champ, Thrill)
",679,11.2,4.1,2.7,43.0,35.5,13.9,26.5
3395,Edward Richard Basden,,19,2.1,1.5,0.4,40.5,14.3,10.3,0.2
3396,Jerry W. Baskerville,,21,1.2,1.3,0.1,30.8,62.5,8.0,0.0
3397,Brandon Sam Bass,"
(The Animal)
",758,8.7,4.5,0.8,49.9,20.7,15.3,42.8
3398,Paris Bass,,2,3.0,2.0,0.0,33.3,0.0,13.9,0.0
3399,Eugene Timothy Bassett,,473,6.2,6.7,1.2,42.3,28.6,10.2,12.9
3400,Charles A. Bassey,,58,4.6,4.4,0.9,64.3,25.0,19.5,2.1
3401,Maceo Demond Baston,,105,2.7,1.7,0.2,61.6,37.5,14.4,2.3
3402,Mengke Bateer,,46,3.4,2.5,0.6,39.1,33.3,6.4,-0.1
3403,Billy Ray Bates,,187,11.7,1.7,1.9,47.4,30.3,18.1,6.9
3404,Keita Bates-Diop,,230,6.5,3.2,0.9,48.0,33.9,12.9,6.2
3405,Esteban Damian Batista,,70,1.7,2.5,0.2,43.8,0.0,7.9,0.3
3406,Michael James Batiste,,75,6.4,3.4,0.7,42.2,22.2,12.2,0.8
3407,Demetrius Antonio Battie,,837,6.1,5.1,0.6,48.8,16.2,12.6,36.4
3408,Shane Courtney Battier,,977,8.6,4.2,1.8,43.7,38.4,12.6,75.7
3409,John Sidney Battle,,612,8.7,1.3,2.1,46.4,27.3,13.7,17.9
3410,Kenneth R. Battle,,134,4.7,2.4,0.8,50.4,13.3,12.5,3.7
3411,David Robert Batton,,58,3.2,2.1,0.6,44.8,0.0,10.2,0.7
3412,Lloyd Batts,,58,10.3,3.4,1.8,36.6,28.6,11.3,-0.5
3413,Nicolas Batum,,993,10.7,5.0,3.4,43.6,36.5,14.4,67.1
3414,John Baum,,244,6.1,2.7,0.6,48.0,0.0,13.8,5.7
3415,Frank Conrad Baumholtz,,45,14.0,-,1.2,29.8,77.6,-,3.8
3416,Lonny Leroy Baxter,,162,3.9,2.9,0.2,46.6,20.0,11.6,2.9
3417,Jerryd Andrew Bayless,,586,8.4,2.1,2.9,41.1,36.1,12.2,18.6
3418,Elgin Gay Baylor,,846,27.4,13.5,4.3,43.1,78.0,22.7,104.2
3419,Howard Edgar Bayne,,69,4.9,6.6,1.0,36.0,14.3,8.2,0.8
3420,Aron John Baynes,"
(Bangers, Baynesey, Beast, Barbarian, Batman)
",522,6.0,4.6,0.8,48.9,30.8,13.7,20.1
3421,Sergei Valerianovich Bazarevich,,10,3.0,0.7,1.4,50.0,16.7,13.6,0.2
3422,Kenneth Lamont Bazemore Jr.,,657,8.2,3.2,1.8,41.3,35.6,11.4,13.5
3423,Darius Denayr Bazley,,228,9.1,5.3,1.2,41.1,31.0,11.1,2.8
3424,Edward Leon Beach Jr.,,12,1.8,2.1,0.3,21.1,66.7,-,-0.3
3425,Bradley Emmanuel Beal,"
(Real Deal, Big Panda, Blue Magic, Brad, Dr. Dre)
",695,22.1,4.1,4.3,46.0,37.2,18.4,52.2
3426,Albert Beard,,12,2.5,3.8,0.0,52.2,-,6.3,0.3
3427,Alfred Beard Jr.,,605,9.3,3.4,3.6,48.7,77.1,15.0,32.8
3428,Ralph Milton Beard Jr.,,126,15.9,3.8,4.4,36.6,77.0,-,11.2
3429,Charles P. Beasley,,281,9.4,2.5,3.1,45.6,23.8,11.9,15.4
3430,Jerome Beasley,,2,1.0,0.5,0.0,33.3,-,5.9,0.0
