id,season,age,tm,lg,pos,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id
2208,1982-83,35,lal,nba,c,15,"",39.2,10.9,19.1,.568,0.0,0.1,.000,10.9,19.1,.570,.568,5.3,7.1,.755,1.7,6.0,7.7,2.8,1.1,3.7,3.3,4.1,27.1,3142
2209,1983-84,36,lal,nba,c,21,"",36.5,9.8,17.7,.555,0.0,0.0,"",9.8,17.7,.555,.555,4.3,5.7,.750,2.7,5.6,8.2,3.8,1.1,2.1,2.1,3.4,23.9,3142
2210,1984-85,37,lal,nba,c,19,19,32.1,8.8,15.8,.560,0.0,0.0,"",8.8,15.8,.560,.560,4.2,5.4,.777,2.6,5.5,8.1,4.0,1.2,1.9,2.7,3.5,21.9,3142
2211,1985-86,38,lal,nba,c,14,14,34.9,11.2,20.1,.557,0.0,0.0,"",11.2,20.1,.557,.557,3.4,4.4,.787,1.9,4.1,5.9,3.5,1.1,1.7,3.0,3.9,25.9,3142
2212,1986-87,39,lal,nba,c,18,18,31.1,6.9,13.0,.530,0.0,0.1,.000,6.9,12.9,.532,.530,5.4,6.8,.795,2.2,4.7,6.8,2.0,0.4,1.9,2.2,3.1,19.2,3142
2213,1987-88,40,lal,nba,c,24,24,29.9,5.9,12.7,.464,0.0,0.1,.000,5.9,12.6,.467,.464,2.3,3.0,.789,2.0,3.4,5.5,1.5,0.6,1.5,1.9,3.4,14.1,3142
2214,1988-89,41,lal,nba,c,15,15,23.4,4.5,9.8,.463,0.0,0.0,"",4.5,9.8,.463,.463,2.1,2.9,.721,0.9,3.1,3.9,1.3,0.3,0.7,1.5,2.9,11.1,3142
2215,1993-94,24,den,nba,pg,12,12,28.3,4.8,12.8,.370,1.0,3.1,.324,3.8,9.8,.385,.409,2.4,2.6,.935,0.3,1.3,1.5,2.5,0.4,0.1,1.2,2.4,12.9,3143
2216,1994-95,25,den,nba,pg,3,2,25.3,4.0,11.0,.364,0.7,4.0,.167,3.3,7.0,.476,.394,4.7,4.7,1.000,0.7,1.0,1.7,1.7,0.7,0.0,2.7,2.7,13.3,3143
2217,1998-99,24,sac,nba,sg,5,5,19.8,3.0,6.6,.455,0.0,0.2,.000,3.0,6.4,.469,.455,2.6,3.2,.813,1.2,2.6,3.8,0.8,0.8,0.8,0.6,1.6,8.6,3144
2218,2002-03,28,dal,nba,sg,8,0,9.9,1.1,3.8,.300,0.0,0.3,.000,1.1,3.5,.321,.300,0.9,1.0,.875,1.4,1.4,2.8,0.9,0.0,0.0,0.1,0.8,3.1,3144
2219,2005-06,29,sac,nba,pf,6,0,21.5,3.8,7.2,.535,0.0,0.5,.000,3.8,6.7,.575,.535,1.5,2.5,.600,1.3,3.5,4.8,1.2,0.3,0.0,2.2,4.5,9.2,3145
2220,1976-77,22,lal,nba,sf,11,"",19.5,1.9,4.5,.420,"","","",1.9,4.5,.420,.420,2.0,2.5,.815,1.1,2.5,3.6,2.0,0.6,0.2,"",1.5,5.8,3146
2221,1977-78,23,lal,nba,sf,2,"",6.0,0.5,2.0,.250,"","","",0.5,2.0,.250,.250,1.0,1.0,1.000,1.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,2.0,3146
2222,2016-17,23,okc,nba,sg,5,0,16.0,1.6,4.6,.348,1.0,3.4,.294,0.6,1.2,.500,.457,0.6,0.8,.750,0.4,1.4,1.8,0.8,0.0,0.0,0.0,1.6,4.8,3149
